Date,Region,Confirmed Cases,Deaths,Suspected Cases
2024-01-07,Tiswadi,15,0,19
2024-01-14,Tiswadi,13,0,18
2024-01-21,Tiswadi,11,0,20
2024-01-28,Tiswadi,14,0,28
2024-02-04,Tiswadi,14,0,16
2024-02-11,Tiswadi,13,0,22
2024-02-18,Tiswadi,12,0,18
2024-02-25,Tiswadi,14,0,27
2024-03-03,Tiswadi,15,0,28
2024-03-10,Tiswadi,17,0,25
2024-03-17,Tiswadi,13,0,19
2024-03-24,Tiswadi,51,0,53
2024-03-31,Tiswadi,18,0,22
2024-04-07,Tiswadi,15,0,24
2024-04-14,Tiswadi,13,0,24
2024-04-21,Tiswadi,12,0,15
2024-04-28,Tiswadi,15,0,20
2024-05-05,Tiswadi,14,0,17
2024-05-12,Tiswadi,16,0,19
2024-05-19,Tiswadi,13,0,13
2024-05-26,Tiswadi,12,0,19
2024-06-02,Tiswadi,16,0,16
2024-06-09,Tiswadi,14,0,27
2024-06-16,Tiswadi,14,0,24
2024-06-23,Tiswadi,15,0,23
2024-06-30,Tiswadi,13,0,15
2024-07-07,Tiswadi,14,0,20
2024-07-14,Tiswadi,13,0,26
2024-07-21,Tiswadi,13,0,13
2024-07-28,Tiswadi,12,0,22
2024-08-04,Tiswadi,13,0,18
2024-08-11,Tiswadi,13,0,16
2024-08-18,Tiswadi,16,0,28
2024-08-25,Tiswadi,13,0,20
2024-09-01,Tiswadi,14,0,27
2024-09-08,Tiswadi,16,0,16
2024-09-15,Tiswadi,49,0,60
2024-09-22,Tiswadi,15,0,19
2024-09-29,Tiswadi,13,0,13
2024-10-06,Tiswadi,13,0,20
2024-10-13,Tiswadi,12,0,26
2024-10-20,Tiswadi,17,0,25
2024-10-27,Tiswadi,13,0,20
2024-11-03,Tiswadi,16,0,24
2024-11-10,Tiswadi,49,0,60
2024-11-17,Tiswadi,15,0,28
2024-11-24,Tiswadi,16,0,27
2024-12-01,Tiswadi,13,0,24
2024-12-08,Tiswadi,13,0,21
2024-12-15,Tiswadi,16,0,18
2024-12-22,Tiswadi,12,0,12
2024-12-29,Tiswadi,14,0,17
2024-01-07,Bardez,7,0,10
2024-01-14,Bardez,10,0,10
2024-01-21,Bardez,10,0,21
2024-01-28,Bardez,9,0,11
2024-02-04,Bardez,9,0,15
2024-02-11,Bardez,8,0,16
2024-02-18,Bardez,10,0,16
2024-02-25,Bardez,10,0,18
2024-03-03,Bardez,8,0,14
2024-03-10,Bardez,9,0,12
2024-03-17,Bardez,9,0,23
2024-03-24,Bardez,6,0,20
2024-03-31,Bardez,8,0,17
2024-04-07,Bardez,8,0,20
2024-04-14,Bardez,11,0,21
2024-04-21,Bardez,7,0,20
2024-04-28,Bardez,6,0,6
2024-05-05,Bardez,8,0,12
2024-05-12,Bardez,6,0,10
2024-05-19,Bardez,5,0,8
2024-05-26,Bardez,11,0,19
2024-06-02,Bardez,8,0,17
2024-06-09,Bardez,7,0,15
2024-06-16,Bardez,7,0,19
2024-06-23,Bardez,11,0,12
2024-06-30,Bardez,7,0,21
2024-07-07,Bardez,7,0,19
2024-07-14,Bardez,6,0,12
2024-07-21,Bardez,14,0,26
2024-07-28,Bardez,8,0,17
2024-08-04,Bardez,11,0,25
2024-08-11,Bardez,13,0,14
2024-08-18,Bardez,9,0,12
2024-08-25,Bardez,33,0,45
2024-09-01,Bardez,7,0,21
2024-09-08,Bardez,8,0,18
2024-09-15,Bardez,31,0,40
2024-09-22,Bardez,6,0,15
2024-09-29,Bardez,7,0,21
2024-10-06,Bardez,7,0,16
2024-10-13,Bardez,7,0,14
2024-10-20,Bardez,52,0,54
2024-10-27,Bardez,8,0,22
2024-11-03,Bardez,7,0,12
2024-11-10,Bardez,6,0,9
2024-11-17,Bardez,9,0,20
2024-11-24,Bardez,6,0,7
2024-12-01,Bardez,7,0,11
2024-12-08,Bardez,6,0,19
2024-12-15,Bardez,6,0,20
2024-12-22,Bardez,7,0,10
2024-12-29,Bardez,5,0,10
2024-01-07,Pernem,12,0,15
2024-01-14,Pernem,9,0,13
2024-01-21,Pernem,11,0,20
2024-01-28,Pernem,11,0,18
2024-02-04,Pernem,10,0,14
2024-02-11,Pernem,10,0,22
2024-02-18,Pernem,9,0,13
2024-02-25,Pernem,10,0,17
2024-03-03,Pernem,10,0,18
2024-03-10,Pernem,10,0,15
2024-03-17,Pernem,10,0,13
2024-03-24,Pernem,13,0,17
2024-03-31,Pernem,10,0,17
2024-04-07,Pernem,49,0,52
2024-04-14,Pernem,12,0,22
2024-04-21,Pernem,9,0,20
2024-04-28,Pernem,39,0,53
2024-05-05,Pernem,13,0,18
2024-05-12,Pernem,10,0,14
2024-05-19,Pernem,9,0,17
2024-05-26,Pernem,13,0,21
2024-06-02,Pernem,11,0,15
2024-06-09,Pernem,13,0,26
2024-06-16,Pernem,10,0,23
2024-06-23,Pernem,12,0,14
2024-06-30,Pernem,8,0,17
2024-07-07,Pernem,10,0,22
2024-07-14,Pernem,10,0,18
2024-07-21,Pernem,10,0,23
2024-07-28,Pernem,12,0,21
2024-08-04,Pernem,56,0,68
2024-08-11,Pernem,11,0,22
2024-08-18,Pernem,12,0,12
2024-08-25,Pernem,12,0,24
2024-09-01,Pernem,10,0,11
2024-09-08,Pernem,8,0,11
2024-09-15,Pernem,8,0,19
2024-09-22,Pernem,8,0,13
2024-09-29,Pernem,11,0,24
2024-10-06,Pernem,8,0,10
2024-10-13,Pernem,9,0,12
2024-10-20,Pernem,11,0,11
2024-10-27,Pernem,9,0,19
2024-11-03,Pernem,10,0,18
2024-11-10,Pernem,10,0,12
2024-11-17,Pernem,10,0,19
2024-11-24,Pernem,9,0,23
2024-12-01,Pernem,12,1,24
2024-12-08,Pernem,8,1,17
2024-12-15,Pernem,9,0,16
2024-12-22,Pernem,14,0,25
2024-12-29,Pernem,11,0,14
2024-01-07,Bicholim,22,1,32
2024-01-14,Bicholim,24,0,31
2024-01-21,Bicholim,19,0,19
2024-01-28,Bicholim,18,0,21
2024-02-04,Bicholim,21,0,24
2024-02-11,Bicholim,20,0,33
2024-02-18,Bicholim,21,0,26
2024-02-25,Bicholim,20,0,22
2024-03-03,Bicholim,21,0,31
2024-03-10,Bicholim,20,0,27
2024-03-17,Bicholim,18,0,28
2024-03-24,Bicholim,19,0,30
2024-03-31,Bicholim,17,0,27
2024-04-07,Bicholim,18,0,22
2024-04-14,Bicholim,17,0,29
2024-04-21,Bicholim,20,0,22
2024-04-28,Bicholim,20,0,27
2024-05-05,Bicholim,18,0,30
2024-05-12,Bicholim,21,0,23
2024-05-19,Bicholim,18,0,24
2024-05-26,Bicholim,21,0,21
2024-06-02,Bicholim,51,0,56
2024-06-09,Bicholim,18,0,29
2024-06-16,Bicholim,21,0,21
2024-06-23,Bicholim,20,0,33
2024-06-30,Bicholim,47,0,49
2024-07-07,Bicholim,18,0,21
2024-07-14,Bicholim,19,0,22
2024-07-21,Bicholim,20,0,27
2024-07-28,Bicholim,21,1,21
2024-08-04,Bicholim,20,0,21
2024-08-11,Bicholim,22,0,25
2024-08-18,Bicholim,17,0,24
2024-08-25,Bicholim,21,0,24
2024-09-01,Bicholim,19,0,20
2024-09-08,Bicholim,20,0,33
2024-09-15,Bicholim,25,0,39
2024-09-22,Bicholim,21,0,21
2024-09-29,Bicholim,20,0,29
2024-10-06,Bicholim,20,0,22
2024-10-13,Bicholim,24,0,38
2024-10-20,Bicholim,19,0,21
2024-10-27,Bicholim,17,0,18
2024-11-03,Bicholim,18,0,27
2024-11-10,Bicholim,52,0,53
2024-11-17,Bicholim,21,0,26
2024-11-24,Bicholim,17,0,30
2024-12-01,Bicholim,24,0,33
2024-12-08,Bicholim,22,0,33
2024-12-15,Bicholim,20,0,33
2024-12-22,Bicholim,18,0,22
2024-12-29,Bicholim,18,0,31
2024-01-07,Sattari,14,0,25
2024-01-14,Sattari,15,0,29
2024-01-21,Sattari,15,0,23
2024-01-28,Sattari,15,0,23
2024-02-04,Sattari,17,0,27
2024-02-11,Sattari,13,0,16
2024-02-18,Sattari,13,0,23
2024-02-25,Sattari,14,1,21
2024-03-03,Sattari,13,0,19
2024-03-10,Sattari,48,0,49
2024-03-17,Sattari,15,0,19
2024-03-24,Sattari,17,0,31
2024-03-31,Sattari,13,0,13
2024-04-07,Sattari,18,0,18
2024-04-14,Sattari,18,0,23
2024-04-21,Sattari,17,0,17
2024-04-28,Sattari,15,0,15
2024-05-05,Sattari,13,0,26
2024-05-12,Sattari,16,0,25
2024-05-19,Sattari,13,0,16
2024-05-26,Sattari,17,0,31
2024-06-02,Sattari,14,0,26
2024-06-09,Sattari,13,0,16
2024-06-16,Sattari,16,0,28
2024-06-23,Sattari,14,0,26
